iShares Residential Real Estate ETF
Fund Holdings as of,"Jan 28, 2020"
Inception Date,"May 01, 2007"
Shares Outstanding,"6,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CHCT","COMMUNITY HEALTHCARE TRUST INC","Equity","0.24","47.05","25,595.00","1,204,244.75","1,204,244.75","Real Estate","BXC87C3","US20369C1062","New York Stock Exchange Inc."
"IRET","INVESTORS REAL ESTATE TRUST REIT","Equity","0.22","73.31","15,547.00","1,139,750.57","1,139,750.57","Real Estate","BFWQ204","US4617305093","New York Stock Exchange Inc."
"SNR","NEW SENIOR INVESTMENT GROUP INC","Equity","0.17","7.73","110,663.00","855,424.99","855,424.99","Real Estate","BRWZXS0","US6486911034","New York Stock Exchange Inc."
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","0.17","1.00","839,410.00","839,409.62","839,409.62","Cash and/or Derivatives","-","US0669224778","-"
"UMH","UMH PROPERTIES REIT INC","Equity","0.15","16.32","47,884.00","781,466.88","781,466.88","Real Estate","2908191","US9030021037","New York Stock Exchange Inc."
"APTS","PREFERRED APARTMENT COMMUNITIES RE","Equity","0.15","12.91","60,531.00","781,455.21","781,455.21","Real Estate","B50XT95","US74039L1035","New York Stock Exchange Inc."
"RESI","FRONT YARD RESIDENTIAL CORP","Equity","0.15","11.39","65,468.00","745,680.52","745,680.52","Real Estate","BDSHDS2","US35904G1076","New York Stock Exchange Inc."
"GMRE","GLOBAL MEDICAL REIT INC","Equity","0.12","14.65","42,826.00","627,400.90","627,400.90","Real Estate","BSNMBW7","US37954A2042","New York Stock Exchange Inc."
"BRG","BLUEROCK RESIDENTIAL GROWTH REIT C","Equity","0.07","11.99","29,820.00","357,541.80","357,541.80","Real Estate","BKWBZX8","US09627J1025","Nyse Mkt Llc"
"USD","USD CASH","Cash","0.05","100.00","233,217.00","233,216.93","233,216.93","Cash and/or Derivatives","-","-","-"
"BRT","BRT APARTMENTS CORP","Equity","0.05","17.88","13,023.00","232,851.24","232,851.24","Real Estate","2068512","US0556453035","New York Stock Exchange Inc."
"CLPR","CLIPPER REALTY INC","Equity","0.04","11.12","19,038.00","211,702.56","211,702.56","Real Estate","BYPD5H3","US18885T3068","New York Stock Exchange Inc."
"JPFFT","CASH COLLATERAL USD JPFFT","Cash Collateral and Margins","0.01","100.00","37,000.00","37,000.00","37,000.00","Cash and/or Derivatives","-","-","-"
"DJEH0","DOW JONES US REAL ESTATE MAR 20","Futures","0.00","377.50","28.00","0.00","1,057,000.00","Cash and/or Derivatives","-","-","Chicago Board Of Trade"
"MARGIN_EUR","FUTURES EUR MARGIN BALANCE","Cash Collateral and Margins","0.00","110.00","-1.00","-0.89","-0.89","Cash and/or Derivatives","-","-","-"
"MARGIN_JPY","FUTURES JPY MARGIN BALANCE","Cash Collateral and Margins","0.00","0.92","-46.00","-0.42","-0.42","Cash and/or Derivatives","-","-","-"
"MARGIN_TRY","FUTURES TRY MARGIN BALANCE","Cash Collateral and Margins","0.00","16.83","2.00","0.36","0.36","Cash and/or Derivatives","-","-","-"
 
