Index,,,,,,
Date,C0A1,C0A0,C0A4,H0A0,H0A2,H0A3
1/27/2017,71,126,160,393,380,899
2/3/2017,74,127,160,386,377,859
2/10/2017,74,127,160,390,384,859
2/17/2017,72,124,157,386,380,835
2/24/2017,72,123,156,384,376,822
3/3/2017,69,118,150,360,349,786
3/10/2017,72,121,154,389,380,818
3/17/2017,73,122,155,391,381,835
3/24/2017,73,123,156,407,398,859
3/31/2017,73,124,157,392,388,855
4/7/2017,72,123,157,386,381,850
4/13/2017,73,125,158,403,402,867
4/21/2017,73,125,158,397,394,868
4/28/2017,72,122,155,375,370,844
5/5/2017,71,121,153,382,383,843
5/12/2017,68,118,149,377,378,829
5/19/2017,69,118,149,378,377,833
5/26/2017,69,118,148,367,367,810
6/2/2017,69,119,151,369,365,829
6/9/2017,69,119,150,373,375,836
6/16/2017,69,118,149,376,378,846
6/23/2017,68,118,149,386,391,861
6/30/2017,65,115,146,377,378,876
7/7/2017,63,112,143,383,385,888
7/14/2017,60,111,142,373,373,867
7/21/2017,61,110,140,364,360,848
7/28/2017,60,108,137,359,356,843
8/4/2017,63,109,140,363,359,847
8/11/2017,68,116,148,400,401,894
8/18/2017,68,115,147,398,397,901
8/25/2017,67,114,147,389,389,894
9/1/2017,67,115,147,382,381,890
9/8/2017,70,117,149,392,391,905
9/15/2017,67,114,145,373,372,869
9/22/2017,63,111,141,364,364,859
9/29/2017,59,106,136,354,354,846
10/6/2017,56,104,133,352,351,850
10/13/2017,57,104,134,360,356,860
10/20/2017,55,101,131,342,339,835
10/27/2017,53,100,129,344,337,849
11/3/2017,57,102,132,352,345,866
11/10/2017,63,106,136,376,378,888
11/17/2017,62,106,137,376,376,892
11/24/2017,58,104,135,367,366,887
12/1/2017,57,103,133,363,368,871
12/8/2017,58,102,132,363,369,865
12/15/2017,56,100,130,364,369,862
12/22/2017,54,99,128,356,362,848
12/29/2017,53,98,128,358,361,851
1/5/2018,55,98,126,336,339,791
1/12/2018,51,95,122,337,340,790
1/19/2018,53,95,121,335,334,794
1/26/2018,51,92,118,323,323,764
2/2/2018,48,90,115,336,347,783
2/9/2018,53,97,124,382,391,856
2/16/2018,53,98,124,350,355,801
2/23/2018,54,100,126,358,365,815
3/2/2018,59,105,132,365,370,804
3/9/2018,58,106,133,353,358,781
3/16/2018,61,110,137,360,359,801
3/23/2018,64,115,143,374,374,827
3/29/2018,64,116,144,379,378,834
4/6/2018,62,114,142,364,384,783
4/13/2018,60,111,139,338,354,746
4/20/2018,59,110,139,333,350,725
4/27/2018,61,112,141,344,360,736
5/4/2018,64,117,148,349,371,721
5/11/2018,60,115,145,340,359,707
5/18/2018,59,114,145,341,360,701
5/25/2018,60,116,147,353,372,713
6/1/2018,62,121,153,355,378,718
6/8/2018,63,122,154,345,368,692
6/15/2018,63,121,153,333,353,673
6/22/2018,68,127,159,339,357,679
6/29/2018,67,129,162,361,382,706
7/6/2018,66,128,161,374,388,742
7/13/2018,63,124,156,362,376,720
7/20/2018,62,122,153,355,370,711
7/27/2018,58,116,146,342,357,696
8/3/2018,57,115,146,343,362,687
8/10/2018,60,118,150,350,369,702
8/17/2018,59,118,150,349,368,707
8/24/2018,61,119,152,346,364,708
8/31/2018,63,121,153,349,372,705
9/7/2018,62,120,152,348,372,705
9/14/2018,57,116,147,329,351,671
9/21/2018,55,113,143,325,346,662
9/28/2018,55,111,141,324,344,659
10/5/2018,56,113,143,332,351,681
10/12/2018,59,116,147,354,374,709
10/19/2018,59,117,148,351,372,702
10/26/2018,64,123,156,385,408,763
11/2/2018,62,124,158,372,398,783
11/9/2018,57,123,156,371,398,799
11/16/2018,66,134,170,418,447,877
11/23/2018,66,138,176,429,460,909
11/30/2018,70,145,184,429,459,921
12/7/2018,73,151,192,450,480,950
12/14/2018,69,148,188,446,480,959
12/21/2018,73,154,196,522,561,1095
12/28/2018,77,158,201,530,571,1099
1/4/2019,79,162,205,505,541,1050
1/11/2019,73,154,196,455,491,977
1/18/2019,66,146,188,427,462,939
1/25/2019,63,140,182,434,472,956
2/1/2019,61,136,176,429,466,955
2/8/2019,62,134,174,432,472,954
2/15/2019,61,132,172,412,451,926
2/22/2019,63,132,171,405,441,921
3/1/2019,61,128,166,386,421,898
3/8/2019,66,129,168,418,457,955
3/15/2019,64,126,164,395,432,927
3/22/2019,63,125,162,403,441,947
3/29/2019,64,125,161,399,436,937
4/5/2019,63,123,159,386,419,894
4/12/2019,60,118,151,368,397,880
4/18/2019,60,117,150,373,403,871
4/26/2019,61,117,149,376,406,869
5/3/2019,63,118,150,372,408,828
5/10/2019,67,122,156,401,437,875
5/17/2019,68,124,158,407,444,883
5/24/2019,70,127,162,416,454,902
5/31/2019,73,135,171,459,504,993
6/7/2019,72,134,171,437,482,979
6/14/2019,70,132,168,423,473,954
6/21/2019,63,125,160,395,442,934
6/28/2019,62,122,156,407,455,950
7/5/2019,61,119,153,398,423,989
7/12/2019,61,118,152,402,427,1002
7/19/2019,60,118,152,407,434,1011
7/26/2019,58,114,146,389,411,996
8/2/2019,64,119,153,419,454,1006
8/9/2019,69,126,161,431,470,1052
8/16/2019,69,131,167,447,488,1094
8/23/2019,65,125,161,425,463,1068
8/30/2019,65,125,161,409,441,1061
9/6/2019,67,126,161,405,441,1052
9/13/2019,66,121,154,383,411,1002
9/20/2019,63,119,152,381,409,1005
9/27/2019,64,121,155,399,432,1025
10/4/2019,67,126,161,438,457,1108
10/11/2019,64,122,156,410,428,1085
10/18/2019,60,118,152,402,419,1068
10/25/2019,58,114,147,389,407,1051
11/1/2019,62,116,148,409,430,1078
11/8/2019,57,111,143,400,419,1073
11/15/2019,58,112,144,406,421,1099
11/22/2019,61,113,146,413,428,1144
11/29/2019,57,111,142,401,416,1136
12/6/2019,57,109,140,389,399,1105
12/13/2019,54,105,136,371,379,1054
12/20/2019,53,101,130,353,358,993
12/27/2019,52,100,129,356,360,994
1/3/2020,55,103,132,361,357,1001
1/10/2020,55,101,130,348,344,978
1/17/2020,54,99,127,339,336,955
1/24/2020,54,101,129,368,370,997
1/31/2020,61,109,139,403,407,1049
