DATE,IRSTCI01INM156N
10/1/1993,12
11/1/1993,12
12/1/1993,12
1/1/1994,12
2/1/1994,12
3/1/1994,12
4/1/1994,12
5/1/1994,12
6/1/1994,12
7/1/1994,12
8/1/1994,12
9/1/1994,12
10/1/1994,12
11/1/1994,12
12/1/1994,12
1/1/1995,12
2/1/1995,12
3/1/1995,12
4/1/1995,12
5/1/1995,12
6/1/1995,12
7/1/1995,12
8/1/1995,12
9/1/1995,12
10/1/1995,12
11/1/1995,12
12/1/1995,12
1/1/1996,12
2/1/1996,12
3/1/1996,12
4/1/1996,12
5/1/1996,12
6/1/1996,12
7/1/1996,12
8/1/1996,12
9/1/1996,12
10/1/1996,12
11/1/1996,12
12/1/1996,12
1/1/1997,12
2/1/1997,12
3/1/1997,12
4/1/1997,11
5/1/1997,11
6/1/1997,10
7/1/1997,10
8/1/1997,10
9/1/1997,10
10/1/1997,9
11/1/1997,9
12/1/1997,9
1/1/1998,11
2/1/1998,11
3/1/1998,10.5
4/1/1998,10
5/1/1998,9
6/1/1998,9
7/1/1998,9
8/1/1998,9
9/1/1998,9
10/1/1998,9
11/1/1998,9
12/1/1998,9
1/1/1999,9
2/1/1999,9
3/1/1999,8
4/1/1999,8
5/1/1999,8
6/1/1999,8
7/1/1999,8
8/1/1999,8
9/1/1999,8
10/1/1999,8
11/1/1999,8
12/1/1999,8
1/1/2000,8
2/1/2000,8
3/1/2000,8
4/1/2000,7
5/1/2000,7
6/1/2000,7
7/1/2000,8
8/1/2000,8
9/1/2000,8
10/1/2000,8
11/1/2000,8
12/1/2000,8
1/1/2001,8
2/1/2001,7.5
3/1/2001,7
4/1/2001,7
5/1/2001,7
6/1/2001,7
7/1/2001,7
8/1/2001,7
9/1/2001,7
10/1/2001,6.5
11/1/2001,6.5
12/1/2001,6.5
1/1/2002,6.5
2/1/2002,6.5
3/1/2002,6.5
4/1/2002,6.5
5/1/2002,6.5
6/1/2002,6.5
7/1/2002,6.5
8/1/2002,6.5
9/1/2002,6.5
10/1/2002,6.5
